"gameid","game_date","stadium","pitchno","time","inning","topbottom","outs","strikes","balls","pa_of_inning","pitch_of_pa","pitcher","pitcherid","pitcherthrows","pitcherset","batterside","pitchtype","pitchcall","korbb","hittype","playresult","outsonplay","runsscored","relspeed","zonespeed","relheight","relside","vertrelangle","horzrelangle","spinrate","spinaxis","tilt","extension","vertbreak","horzbreak","platelocheight","platelocside","zonetime","exitspeed","hitangle","hitdirection","distance","bearing","hangtime"
"gid11","2017-06-07","Stadium 7",29,"14:31:55",1,"Bottom",0,0,0,1,1,"Pitcher 1",1,"Right","Windup","Left","Fastball","StrikeCalled",,,,0,0,91.202537589,82.8543559261,6.2461418861,1.95316544275,-2.18434378151,-2.87209527045,1897.54445221,223.644887198,"01:30:00",5.48308985629,-20.5946339986,11.4842048546,2.49091116838,0.279333621345,0.421889343575,,,,,,
"gid11","2017-06-07","Stadium 7",30,"14:32:08",1,"Bottom",0,1,0,1,2,"Pitcher 1",1,"Right","Windup","Left","Slider","StrikeCalled",,,,0,0,83.5145154899,76.9563291273,6.15534951382,2.06341720706,0.401118802587,-1.07550525237,2416.28618229,28.2006847034,"07:00:00",5.24472246132,-45.9566798415,-3.67302590385,2.61896680646,0.73064018771,0.460162834221,,,,,,
"gid11","2017-06-07","Stadium 7",31,"14:32:20",1,"Bottom",0,2,0,1,3,"Pitcher 1",1,"Right","Windup","Left","Fastball","BallCalled",,,,0,0,93.0808744854,85.3927287359,6.10443088357,1.79811036469,-2.23831528381,-5.03932847381,1963.48489939,239.121511163,"02:00:00",5.85048675467,-21.4276910034,15.7598042647,2.22753245569,-1.50955525939,0.409279367695,,,,,,
"gid11","2017-06-07","Stadium 7",32,"14:32:34",1,"Bottom",0,2,1,1,4,"Pitcher 1",1,"Right","Windup","Left","Fastball","BallCalled",,,,0,0,93.5357763668,86.4459944352,5.9632100261,1.66281019024,-0.574917162017,-5.1642615562,1967.45046025,260.721717842,"02:45:00",5.69541506902,-27.6177328208,18.1515512003,3.09457517953,-1.57134000344,0.406620001672,,,,,,
"gid11","2017-06-07","Stadium 7",33,"14:32:54",1,"Bottom",0,2,2,1,5,"Pitcher 1",1,"Right","Windup","Left","Fastball","BallCalled",,,,0,0,91.9297564265,84.6072700763,5.74126179292,1.62848530831,-0.466735058177,-5.06642410694,1948.53303557,256.941216296,"02:30:00",5.93016142766,-27.7246034093,16.1228506553,2.96852259709,-1.66903396029,0.412746344105,,,,,,
"gid11","2017-06-07","Stadium 7",34,"14:33:09",1,"Bottom",0,2,3,1,6,"Pitcher 1",1,"Right","Windup","Left","Slider","BallCalled","Walk",,,0,0,86.1289935992,80.5286057267,5.91600196299,1.80341348536,-1.27757998016,-4.16841856491,2379.36136074,359.746181927,"06:00:00",5.59001077715,-42.6764206802,0.0286229530236,1.09117127386,-2.09275381207,0.441844237821,,,,,,
"gid11","2017-06-07","Stadium 7",35,"14:33:50",1,"Bottom",0,0,0,2,1,"Pitcher 1",1,"Right","Stretch","Right","Fastball","BallCalled",,,,0,0,92.7203391616,85.3090945021,5.91740488449,2.1113864657,-3.35524374508,-4.37348704717,1958.84722074,258.77607473,"02:45:00",5.65675556708,-27.4846893429,19.6714174835,0.457629383794,-0.249630047536,0.412621726194,,,,,,
"gid11","2017-06-07","Stadium 7",36,"14:34:18",1,"Bottom",0,0,1,2,2,"Pitcher 1",1,"Right","Stretch","Right","Slider","StrikeCalled",,,,0,0,83.475020926,77.8415754341,6.05241041354,2.05318560826,0.240333163023,-2.23685032431,2329.88970692,12.2226626639,"06:30:00",5.12858621119,-44.5331381533,-1.18358753652,2.49704107359,-0.157577319748,0.458824450098,,,,,,
"gid11","2017-06-07","Stadium 7",37,"14:34:46",1,"Bottom",0,1,1,2,3,"Pitcher 1",1,"Right","Stretch","Right","Slider","StrikeCalled",,,,0,0,83.2678063301,77.3895443894,6.03536604444,2.03701958562,0.342961311017,-1.22254944872,2303.44605268,44.1371302881,"07:30:00",5.10069044543,-42.0766898246,-2.71545083327,2.7879441022,0.647359027473,0.460478328111,,,,,,
"gid11","2017-06-07","Stadium 7",38,"14:35:20",1,"Bottom",0,2,1,2,4,"Pitcher 1",1,"Right","Stretch","Right","Slider","BallCalled",,,,0,0,82.9221705995,77.1727319607,6.03035620257,2.0547254006,0.145245894081,-2.8744436863,2417.48991845,16.0632137395,"06:30:00",5.35522322043,-48.7679813821,-2.69362687256,2.01347893961,-0.878384003287,0.461189362562,,,,,,
